name,year,rating,sipnosis,generos,director
Titanic,1997,"7,9",,"['Drama', 'Romance']",James Cameron
Hacia la libertad,2022,"6,0",,"['Acción', 'Suspense']",Antoine Fuqua
This Place Rules,2022,"7,5",,"['Documental', 'Crimen', 'Historia']",
Zardoz,1974,"5,8",,"['Aventura', 'Fantasía', 'Ciencia ficción']",John Boorman
Animales fantásticos: Los secretos de Dumbledore,2022,"6,2",,"['Aventura', 'Familiar', 'Fantasía']",David Yates
Thor: Love and Thunder,2022,"6,3",,"['Acción', 'Aventura', 'Comedia']",Taika Waititi
El amante de Lady Chatterley,2022,"6,6",,"['Drama', 'Romance']",Laure de Clermont-Tonnerre
The Fallout,2021,"7,0",,['Drama'],Megan Park
7 mujeres y un misterio,2021,"5,3",,"['Comedia', 'Crimen', 'Misterio']",Alessandro Genovesi
La mujer rey,2022,"6,7",,"['Acción', 'Drama', 'Historia']",Gina Prince-Bythewood
La familia Addams,1991,"6,9",,"['Comedia', 'Fantasía']",Barry Sonnenfeld
Muerte en el Nilo,2022,"6,3",,"['Crimen', 'Drama', 'Misterio']",Kenneth Branagh
Winnie-the-Pooh: Blood and Honey,2023,,,['Terror'],
Terrifier 2,2022,"6,2",,['Terror'],Damien Leone
Super Mario Bros.: La película,2023,,,"['Animación', 'Aventura', 'Comedia']",
80 for Brady,2023,"5,0",,"['Comedia', 'Drama', 'Deporte']",Kyle Marvin
El espíritu de la Navidad,2022,"6,6",,"['Comedia', 'Familiar', 'Musical']",Sean Anders
Sol a casa,1990,"7,7",,"['Comedia', 'Familiar']",Chris Columbus
Decision to Leave,2022,"7,3",,"['Crimen', 'Drama', 'Misterio']",Park Chan-wook
El piloto,2023,,,"['Acción', 'Suspense']",
El prodigio,2022,"6,6",,"['Drama', 'Misterio', 'Suspense']",Sebastián Lelio
Fall,2022,"6,4",,['Suspense'],
Weird: La historia de Al Yankovic,2022,"7,0",,"['Biografía', 'Comedia', 'Música']",Eric Appel
Zoolander (Un descerebrado de moda),2001,"6,5",,['Comedia'],
Érase una vez en... Hollywood,2019,"7,6",,"['Comedia', 'Drama']",Quentin Tarantino
El señor de los anillos: La comunidad del anillo,2001,"8,8",,"['Acción', 'Aventura', 'Drama']",Peter Jackson
Noche de fin de año,2011,"5,6",,"['Comedia', 'Romance']",Garry Marshall
Spider-Man: No Way Home,2021,"8,2",,"['Acción', 'Aventura', 'Fantasía']",Jon Watts
